food_name,category,meal_type,calories,protein,carbs,fats,fiber,diet_type,cuisine
Oats Porridge,grains,breakfast,150,5,27,3,4,veg,indian
Poha,grains,breakfast,250,4,45,6,2,veg,indian
Idli (2 pieces),grains,breakfast,140,4,30,0.5,1,veg,south_indian
Dosa (plain),grains,breakfast,170,4,34,3,1,veg,south_indian
Upma,grains,breakfast,220,5,38,6,3,veg,indian
Besan Chilla,legumes,breakfast,180,10,22,5,3,veg,indian
Egg Omelette (2 eggs),protein,breakfast,180,14,1,13,0,non-veg,indian
Boiled Eggs (2),protein,breakfast,155,13,1,11,0,non-veg,indian
Moong Dal Chilla,legumes,breakfast,160,9,24,3,4,veg,indian
Paneer Bhurji,dairy,breakfast,250,16,6,18,1,veg,indian
Greek Yogurt (150g),dairy,breakfast,130,12,9,4,0,veg,western
Banana,fruits,breakfast,90,1,23,0,3,veg,indian
Apple,fruits,breakfast,80,0,21,0,4,veg,indian
Mixed Fruit Bowl,fruits,breakfast,120,2,28,1,4,veg,indian
Whole Wheat Bread (2 slices),grains,breakfast,160,6,30,2,4,veg,western
Dal (moong/masoor),legumes,lunch,200,14,30,1,8,veg,indian
Rajma Curry,legumes,lunch,280,15,45,5,12,veg,indian
Chole (Chickpea Curry),legumes,lunch,300,14,45,8,12,veg,indian
Palak Paneer,dairy,lunch,280,14,12,18,5,veg,indian
Paneer Tikka,dairy,lunch,260,18,8,17,2,veg,indian
Mixed Veg Sabzi,vegetables,lunch,150,5,22,5,6,veg,indian
Aloo Gobi,vegetables,lunch,180,5,28,6,5,veg,indian
Brown Rice (1 cup cooked),grains,lunch,215,5,45,2,4,veg,indian
White Rice (1 cup cooked),grains,lunch,200,4,44,0,1,veg,indian
Roti (2 pieces),grains,lunch,200,6,40,2,5,veg,indian
Chicken Curry,protein,lunch,320,28,12,18,2,non-veg,indian
Tandoori Chicken (150g),protein,lunch,270,30,5,14,1,non-veg,indian
Grilled Chicken Breast (150g),protein,lunch,230,43,0,5,0,non-veg,western
Fish Curry (Rohu),protein,lunch,250,26,10,12,1,non-veg,indian
Egg Curry (2 eggs),protein,lunch,220,14,8,15,1,non-veg,indian
Mutton Curry,protein,lunch,380,28,10,26,1,non-veg,indian
Sprouts Salad,legumes,snack,120,9,18,1,6,veg,indian
Roasted Chana,legumes,snack,160,10,27,3,8,veg,indian
Mixed Nuts (30g),nuts,snack,180,5,7,16,2,veg,indian
Fruit Salad,fruits,snack,100,2,24,0,4,veg,indian
Paneer Cubes (50g),dairy,snack,140,9,2,11,0,veg,indian
Makhana (Fox Nuts),nuts,snack,110,4,20,1,1,veg,indian
Boiled Egg (1),protein,snack,78,6,1,5,0,non-veg,indian
Buttermilk (Chaas),dairy,snack,60,3,7,2,0,veg,indian
Green Tea,beverages,snack,5,0,1,0,0,veg,indian
Masala Chai (no sugar),beverages,snack,40,2,5,2,0,veg,indian
Dal Khichdi,legumes,dinner,280,12,48,5,6,veg,indian
Paneer Sabzi,dairy,dinner,260,15,10,18,3,veg,indian
Tofu Stir Fry,soy,dinner,200,14,12,10,3,veg,indian
Mixed Dal,legumes,dinner,220,14,34,2,8,veg,indian
Vegetable Soup,vegetables,dinner,120,4,18,3,5,veg,indian
Chicken Breast Grilled (200g),protein,dinner,305,57,0,7,0,non-veg,western
Baked Fish (200g),protein,dinner,230,42,0,6,0,non-veg,western
Egg White Bhurji,protein,dinner,120,15,3,5,0,non-veg,indian
Chicken Soup,protein,dinner,180,20,8,7,2,non-veg,indian
Dahi (Curd 200g),dairy,dinner,120,8,9,5,0,veg,indian
Quinoa (1 cup cooked),grains,dinner,222,8,39,4,5,veg,western
Sweet Potato,vegetables,dinner,130,3,30,0,4,veg,indian
Sauteed Veggies,vegetables,dinner,100,4,14,4,5,veg,indian
Whey Protein Shake,supplements,snack,130,25,5,2,0,non-veg,western
Plant Protein Shake,supplements,snack,120,22,6,2,1,veg,western
Peanut Butter (2 tbsp),nuts,snack,190,8,6,16,2,veg,indian
Almonds (20g),nuts,snack,116,4,4,10,1,veg,indian
Walnuts (20g),nuts,snack,131,3,3,13,1,veg,indian
